苗字,苗字（ふりがな）,人数,割合,名前（男）,名前（男）ふりがな,名前（女）,名前（女）ふりがな
佐藤,さとう,1842000,1842000,秋,あき,あい,あい
鈴木,すずき,1778000,3620000,アキト,あきと,愛,あい
高橋,たかはし,1392000,5012000,明宏,あきひろ,藍,あい
田中,たなか,1320000,6332000,昭博,あきひろ,藍華,あいか
伊藤,いとう,1060000,7392000,彬弘,あきひろ,あいり,あいり
渡辺,わたなべ,1050000,8442000,明博,あきひろ,愛莉,あいり
山本,やまもと,1036000,9478000,あきら,あきら,愛里,あり
中村,なかむら,1032000,10510000,アキラ,あきら,愛理,あいり
小林,こばやし,1016000,11526000,彰,あきら,あおい,あおい
加藤,かとう,878000,12404000,陽,あきら,葵,あおい
吉田,よしだ,818000,13222000,旭,あきら,蒼,あおい
山田,やまだ,804000,14026000,晃,あきら,青葉,あおば
佐々木,ささき,661000,14687000,昭,あきら,あかね,あかね
山口,やまぐち,635000,15322000,晶,あきら,茜,あかね
松本,まつもと,619000,15941000,章,あきら,朱音,あかね
井上,いのうえ,607000,16548000,朗,あきら,あかり,あかり
木村,きむら,568000,17116000,斐,あきら,朱里,じゅり
林,はやし,539000,17655000,輝,あきら,あき,あき
斎藤,さいとう,535000,18190000,飛鳥,あすか,明菜,あきな
清水,しみず,526000,18716000,梓,あずさ,晶,あきら
山崎,やまざき,476000,19192000,東,あずま,あけみ,あけみ
森,もり,460000,19652000,中,あたる,明美,あけみ
池田,いけだ,444000,20096000,惇,あつし,あこ,あこ
橋本,はしもと,442000,20538000,敦,あつし,アコ,あこ
阿部,あべ,435000,20973000,あまね,あまね,あさみ,あさみ
石川,いしかわ,422000,21395000,周,あまね,あざみ,あざみ
山下,やました,412000,21807000,歩,あゆむ,あすか,あすか
中島,なかじま,396000,22203000,新,あらた,あずき,あずき
石井,いしい,394000,22597000,伊織,いおり,あずさ,あずさ
小川,おがわ,392000,22989000,幾,いく,梓,あずさ
前田,まえだ,376000,23365000,イサム,いさむ,アスナ,あすな
岡田,おかだ,374000,23739000,至,いたる,明日菜,あすな
長谷川,はせがわ,372000,24111000,格,いたる,あつこ,あつこ
藤田,ふじた,368000,24479000,一松,いちまつ,あつ子,あつこ
後藤,ごとう,366000,24845000,いつき,いつき,敦子,あつこ
近藤,こんどう,365000,25210000,樹,いつき,敦美,あつみ
村上,むらかみ,349000,25559000,斎,いつき,あまね,あまね
遠藤,えんどう,328000,25887000,一輝,いっき,あみ,あみ
青木,あおき,325000,26212000,出,いずる,亜美,あみ
坂本,さかもと,321000,26533000,巌,いわお,あや,あや
斉藤,さいとう,318000,26851000,おさむ,おさむ,彩,あや
福田,ふくだ,308000,27159000,乱,らん,文,あや
太田,おおた,306000,27465000,修,おさむ,絢,あや
西村,にしむら,304000,27769000,治,おさむ,綾,あや
藤井,ふじい,303000,28072000,紀,おさむ,あやか,あやか
金子,かねこ,293000,28365000,納,おさむ,あやな,あやな
岡本,おかもと,292000,28657000,統,おさむ,綾音,あやね
藤原,ふじわら,291000,28948000,導,おさむ,あやの,あやの
中野,なかの,290000,29238000,温,あつし,綾乃,あやの
三浦,みうら,290000,29528000,海,うみ,綾野,あやの
原田,はらだ,286000,29814000,快,かい,あやめ,あやめ
中川,なかがわ,286000,30100000,薫,かおる,菖,しょう
松田,まつだ,284000,30384000,格,いたる,あゆ,あゆ
竹内,たけうち,282000,30666000,革,かく,あゆみ,あゆみ
小野,おの,275000,30941000,和興,かずおき,歩,ふ
田村,たむら,275000,31216000,和音,わおん,アリサ,ありさ
中山,なかやま,265000,31481000,鼎,かなえ,杏,あんず
和田,わだ,263000,31744000,完二,かんじ,杏子,あんず
石田,いしだ,262000,32006000,京,きょう,いおり,いおり
森田,もりた,257000,32263000,恭,きょう,伊織,いおり
上田,うえだ,243000,32506000,京介,きょうすけ,泉,いずみ
原,はらだ,242000,32748000,京助,きょうすけ,いちご,いちご
内田,うちだ,242000,32990000,恭介,きょうすけ,苺,いちご
柴田,しばた,239000,33229000,京也,きょうや,いづみ,いづみ
酒井,さかい,237000,33466000,きよし,きよし,憂,う
宮崎,みやざき,234000,33700000,清,きよし,初,はつ
横山,よこやま,233000,33933000,潔,きよし,潮,しお
高木,たかぎ,230000,34163000,キリト,きりと,卯月,うづき
安藤,あんどう,228000,34391000,究,きわむ,梅,うめ
宮本,みやもと,225000,34616000,吟,ぎん,恵美,えみ
大野,おおの,218000,34834000,邦,くに,絵理,えり
小島,こじま,214000,35048000,国生,くにお,カイ,かい
